layout,ResNet50,EfficientNet b4,gluon_resnet152_v1s,convnext_nano,convnext_Large,resnetv2_101,efficientnetv2_rw_m,,
"[4, 1, 3]",5.63E-01,5.07E-01,6.25E-01,4.87E-01,6.19E-01,6.31E-01,5.75E-01,,
"[4, 1, 4]",5.11E-01,5.79E-01,6.43E-01,6.02E-01,5.48E-01,5.48E-01,5.25E-01,,
"[4, 2, 1]",5.27E-01,6.09E-01,6.96E-01,6.46E-01,5.49E-01,6.38E-01,5.35E-01,,
"[4, 2, 2]",5.88E-01,5.82E-01,6.59E-01,5.59E-01,6.80E-01,5.18E-01,5.83E-01,,
"[4, 2, 3]",5.89E-01,5.42E-01,5.74E-01,5.59E-01,5.77E-01,6.14E-01,5.49E-01,,
"[4, 2, 4]",4.44E-01,5.76E-01,6.02E-01,6.12E-01,6.19E-01,4.64E-01,6.51E-01,,
"[4, 3, 1]",5.67E-01,5.89E-01,5.74E-01,5.68E-01,5.41E-01,7.09E-01,4.98E-01,,
"[4, 3, 2]",5.86E-01,5.50E-01,4.38E-01,5.42E-01,5.36E-01,5.83E-01,5.70E-01,,
"[4, 3, 3]",5.59E-01,4.84E-01,5.70E-01,6.00E-01,5.55E-01,5.46E-01,5.48E-01,,
"[4, 3, 4]",6.34E-01,5.75E-01,4.67E-01,6.77E-01,6.31E-01,5.51E-01,5.47E-01,,
"[4, 4, 1]",6.27E-01,5.51E-01,6.71E-01,6.46E-01,5.93E-01,6.17E-01,5.28E-01,,
"[4, 4, 2]",5.25E-01,7.24E-01,5.84E-01,5.07E-01,6.55E-01,6.18E-01,6.43E-01,,
"[4, 4, 3]",6.32E-01,3.30E-01,5.82E-01,5.67E-01,4.95E-01,5.75E-01,5.74E-01,,
"[4, 4, 4]",6.65E-01,4.74E-01,6.98E-01,7.09E-01,5.54E-01,6.76E-01,6.75E-01,,
"[1, 1, 5]",6.35E-01,6.35E-01,6.27E-01,5.75E-01,5.26E-01,5.81E-01,5.79E-01,,
"[1, 2, 5]",5.83E-01,5.83E-01,5.30E-01,5.03E-01,6.13E-01,6.32E-01,5.35E-01,,
"[1, 3, 5]",5.64E-01,5.64E-01,5.52E-01,5.23E-01,5.29E-01,5.71E-01,5.49E-01,,
"[1, 4, 5]",5.58E-01,5.58E-01,6.14E-01,5.73E-01,6.36E-01,5.48E-01,5.38E-01,,
"[1, 5, 1]",5.80E-01,5.80E-01,5.56E-01,5.56E-01,6.26E-01,5.94E-01,5.85E-01,,
"[1, 5, 2]",5.20E-01,5.20E-01,6.26E-01,6.22E-01,5.68E-01,6.36E-01,5.59E-01,,
"[1, 5, 3]",5.37E-01,5.37E-01,5.76E-01,6.45E-01,6.45E-01,6.27E-01,5.42E-01,,
"[1, 5, 4]",4.86E-01,4.86E-01,5.04E-01,5.46E-01,5.78E-01,5.75E-01,6.30E-01,,
